DEPTH (m),O2 (mg/L)
11.8,4.25762907
11.8,4.22952567
11.8,4.23348897
11.8,4.23997437
11.8,4.34179515
11.8,4.19428833
11.8,4.18070502
11.8,4.24703625
11.8,4.23273234
11.8,4.24761273
11.8,4.25809746
11.8,4.17940794
11.8,4.18964046
11.8,4.19241477
11.8,4.19767515
11.8,4.20055755
11.7,4.41039627
11.7,4.29625323
11.7,4.15811421
11.7,4.14979128
11.7,4.13080347
11.7,4.08320784
11.7,4.0847211
11.7,4.08983736
11.7,4.09199916
11.7,4.04429544
11.7,4.07412828
11.7,4.07578566
11.7,4.07920851
11.7,4.08108207
11.7,4.09311609
11.7,4.06216632
11.7,4.07290326
11.7,4.07286723
11.7,4.07729892
11.7,4.07924454
11.7,4.08097398
11.7,4.06494063
11.7,4.06627374
11.7,4.05996849
11.7,4.06659801
11.7,4.09816029
11.7,4.08518949
11.7,4.09199916
11.7,4.07758716
11.7,4.08421668
11.7,4.08846822
11.7,4.07791143
11.7,4.06375164
11.7,4.08540567
11.7,4.08619833
11.7,4.103817
11.7,4.10979798
11.7,4.11595911
11.7,4.14017127
11.7,4.15339428
11.7,4.25719671
11.7,4.26602406
11.7,4.28328243
11.7,4.28483172
11.7,4.28003973
11.7,4.2771213
11.7,4.27240137
11.7,4.23608313
11.7,4.17656157
11.7,4.20210684
11.7,4.19544129
11.7,4.19670234
11.7,4.19702661
11.7,4.21965345
11.7,4.22952567
11.7,4.244334
11.7,4.18654188
11.7,4.20653853
11.7,4.21165479
